,crypto_name
0x,ZRX
1inch Network,1INCH
Aave,AAVE
Aion,AION
Algorand,ALGO
Alien Worlds,TLM
Alpha Finance Lab,ALPHA
Ambire AdEx,ADX
Ankr,ANKR
Ardor,ARDR
Ark,ARK
Arweave,AR
Audius,AUDIO
Augur,REP
Automata Network,ATA
Avalanche,AVAX
Axie Infinity,AXS
BakeryToken,BAKE
Balancer,BAL
Bancor,BNT
Band Protocol,BAND
Basic Attention Token,BAT
Binance Coin,BNB
Binance USD,BUSD
BitShares,BTS
BitTorrent,BTT
Bitcoin,BTC
Bitcoin Cash,BCH
Bitcoin Gold,BTG
Bitcoin SV,BCHSV
Bluzelle,BLZ
Burger Swap,BURGER
COTI,COTI
Cardano,ADA
Cartesi,CTSI
Celer Network,CELR
Chainlink,LINK
Chiliz,CHZ
Chromia,CHR
Civic,CVC
Clover Finance,CLV
Compound,COMP
Contentos,COS
Cosmos,ATOM
Cream Finance,CREAM
Curve DAO Token,CRV
DFI.Money,YFII
DODO,DODO
Dash,DASH
DeXe,DEXE
Decentraland,MANA
Decred,DCR
Dego Finance,DEGO
Dent,DENT
DigiByte,DGB
Dock,DOCK
Dogecoin,DOGE
Dusk Network,DUSK
EOS,EOS
EasyFi,EZ
Elrond,EGLD
Enjin Coin,ENJ
Ethereum,ETH
Ethereum Classic,ETC
Ethereum Push Notification Service,PUSH
FTX Token,FTT
FUNToken,FUN
Fantom,FTM
Fetch.ai,FET
Filecoin,FIL
Firo,FIRO
Flow,FLOW
Frontier,FRONT
Gala,GALA
Gifto,GTO
Gnosis,GNO
Golem,GLM
Groestlcoin,GRS
Harmony,ONE
Hedera,HBAR
Helium,HNT
Hifi Finance,MFT
Hive,HIVE
Holo,HOT
ICON,ICX
IOST,IOST
IOTA,IOTA
Illuvium,ILV
Injective Protocol,INJ
Internet Computer,ICP
IoTeX,IOTX
JUST,JST
Kava,KAVA
Keep Network,KEEP
Klaytn,KLAY
Komodo,KMD
Kusama,KSM
Lisk,LSK
Litecoin,LTC
Loom Network,LOOM
Loopring,LRC
MOBOX,MBOX
Maker,MKR
Mask Network,MASK
Mdex,MDX
Metal,MTL
Mina,MINA
Mirror Protocol,MIR
Monero,XMR
MyNeighborAlice,ALICE
NEAR Protocol,NEAR
NEM,XEM
NKN,NKN
Nano,NANO
Nebulas,NAS
Neo,NEO
Nervos Network,CKB
New BitShares,NBS
NuCypher,NU
Nucleus Vision,NCASH
OMG Network,OMG
Oasis Network,ROSE
Ontology,ONT
Orchid,OXT
Origin Protocol,OGN
PAX Gold,PAXG
PancakeSwap,CAKE
Pax Dollar,USDP
Perpetual Protocol,PERP
Phala Network,PHA
Polkadot,DOT
Polygon,MATIC
Polymath,POLY
Pundi X[new],PUNDIX
Qtum,QTUM
Quant,QNT
QuarkChain,QKC
Radicle,RAD
Ravencoin,RVN
Raydium,RAY
Reef,REEF
Ren,REN
Request,REQ
Reserve Rights,RSR
SHIBA INU,SHIB
SKALE Network,SKL
Secret,SCRT
Selfkey,KEY
Serum,SRM
Siacoin,SC
Smooth Love Potion,SLP
Solana,SOL
Stacks,STX
Status,SNT
Steem,STEEM
Stellar,XLM
Storj,STORJ
StormX,STMX
Stratis,STRAX
Streamr,DATA
SushiSwap,SUSHI
Swipe,SXP
Synthetix,SNX
Syscoin,SYS
THETA,THETA
THORChain,RUNE
TRON,TRX
Tellor,TRB
Terra,LUNA
Tezos,XTZ
The Graph,GRT
The Sandbox,SAND
Theta Fuel,TFUEL
Toko Token,TKO
TomoChain,TOMO
Travala.com,AVA
TrueUSD,TUSD
UMA,UMA
USD Coin,USDC
UniLend,UFT
Uniswap,UNI
VITE,VITE
VeChain,VET
Venus,XVS
Verge,XVG
Viberate,VIB
Voyager Token,VGX
WAX,WAXP
WINkLink,WIN
Waltonchain,WTC
Waves,WAVES
WazirX,WRX
XRP,XRP
Zcash,ZEC
Zilliqa,ZIL
bZx Protocol,BZRX
district0x,DNT
eCash,XEC
iExec RLC,RLC
pNetwork,PNT
yearn.finance,YFI
STPT,STPT
CFX,CFX
AUCTION,AUCTION
OCEAN,OCEAN
ALPACA,ALPACA
DYDX,DYDX
SUN,SUN
SUPER,SUPER
GXS,GXS
AGLD,AGLD
BCD,BCD
RARE,RARE